"id","ut","level","type","region","tel","website"
"1","北京工业大学","211","理工类","北京朝阳区","010-67391609","http://admissions.bjut.edu.cn/"
"2","北京大学","985 211","综合类","北京海淀区","010-62751407,010-62554332","http://www.gotopku.cn"
"3","内蒙古大学","211","综合类","内蒙古赛罕区","0471-4993105,0471-4993164","http://zhaosheng.imu.edu.cn/"
"4","大连海事大学","211","理工类","辽宁甘井子区","0411-84727233,0411-84724303","http://bkzs.dlmu.edu.cn"
"5","哈尔滨工业大学","985 211","理工类","黑龙江南岗区","0451-86414671,0451-86414771","https://zsb.hit.edu.cn/"
"6","云南大学","211","综合类","云南呈贡区","0871-65033819,0871-65032173,0871-65939873","http://zsb.ynu.edu.cn/"
"7","长安大学","211","理工类","陕西","029-82334104,029-82334813","http://zsb.chd.edu.cn"
"8","西北大学","211","综合类","陕西碑林区","029-88302211,029-88303892","http://zsb.nwu.edu.cn/"
"9","北京交通大学","211","理工类","北京海淀区","010-51688441","https://zsw.bjtu.edu.cn"
"10","北京外国语大学","211","语言类","北京海淀区","010-88816254,010-88816481","http://joinus.bfsu.edu.cn"
"11","中央音乐学院","211","艺术类","北京西城区","010-66410968","http://zhaoban.ccom.edu.cn/login;JSESSIONID=54901193046a4433b0ff48dffa685a63"
"12","河北工业大学","211","理工类","天津北辰区","022-60438029,022-60438259","https://ugs.hebut.edu.cn/skip-page/recruitment-website.html?menuId=9"
"13","武汉大学","985 211","综合类","湖北武昌区","027-68754231","http://aoff.whu.edu.cn/"
"14","北京林业大学","211","农林类","北京海淀区","010-62338216,010-62338222","http://zsb.bjfu.edu.cn/f"
"15","湖南大学","985 211","综合类","湖南岳麓区","0731-88823560,0731-88823067,0731-88823578,0731-88823565","http://admi.hnu.edu.cn"
"16","中央民族大学","985 211","民族类","北京海淀区","010-68932902,010-68933922","http://zb.muc.edu.cn"
"17","中国人民大学","985 211","综合类","北京海淀区","400-012-3517","http://rdzs.ruc.edu.cn/cms/"
"18","北京航空航天大学","985 211","理工类","北京海淀区","010-82317695,010-82338793,010-82338240","http://zsjyc.buaa.edu.cn"
"19","北京邮电大学","211","理工类","北京海淀区","010-62282045,010-62283407","https://zsb.bupt.edu.cn/#1307"
"20","北京中医药大学","211","医药类","北京朝阳区","010-64286231","http://bkzs.bucm.edu.cn"
"21","辽宁大学","211","综合类","辽宁皇姑区","024-62202299","http://zs.lnu.edu.cn/"
"22","西南交通大学","211","理工类","四川郫都区","028-66366373,028-66366379,028-66368074","https://zhaosheng.swjtu.edu.cn/"
"23","北京师范大学","985 211","师范类","北京海淀区","010-58807962","https://admission.bnu.edu.cn/"
"24","对外经济贸易大学","211","财经类","北京朝阳区","010-64492178","http://zhaosheng.uibe.edu.cn"
"25","河北大学","普通本科","综合类","河北","0312-5079698","http://zhaoban.hbu.cn"
"26","河北科技大学","普通本科","理工类","河北","0311-81668135,0311-81668192","https://bkzs.hebust.edu.cn/"
"27","河北经贸大学","普通本科","财经类","河北","0311-87655611","http://zhaosheng.heuet.edu.cn"
"28","西安电子科技大学","211","理工类","陕西雁塔区","029-88202335,029-88204236","http://zsb.xidian.edu.cn"
"29","湖南师范大学","211","师范类","湖南","0731-8872222","http://zsb.hunnu.edu.cn"
"30","南开大学","985 211","综合类","天津南开区","022-23504845","http://zsb.nankai.edu.cn"
"31","天津大学","985 211","理工类","天津南开区","022-27405486","http://zs.tju.edu.cn/"
"32","中国海洋大学","985 211","综合类","山东崂山区","0532-66782426,0532-66782478,0532-66781723","http://bkzs.ouc.edu.cn"
"33","郑州大学","211","综合类","河南郑州高新技术产业开发区","0371-67781111,0371-67731111,0371-67783333","http://ao.zzu.edu.cn"
"34","合肥工业大学","211","理工类","安徽庐阳区","0551-62902397,0551-62902327","http://bkzs.hfut.edu.cn"
