序号,学科门类,门类代码,一级学科名称,学科代码,评估结果,院校名称,学校代码,评估百分位,评估名次,评估档次,全国“博士授权”高校总数,本次参评“博士授权”高校数,本次参评高校总数,双一流学科
564,法学,3,马克思主义理论,305,C+,三峡大学,11075,40%-50%,前92-115名,7档,93,83,231,
859,文学,5,中国语言文学,501,C,三峡大学,11075,50%-60%,前74-88名,8档,65,64,148,
1697,理学,7,生物学,710,C-,三峡大学,11075,60%-70%,前96-112名,9档,91,75,161,
1789,理学,7,生态学,713,C,三峡大学,11075,50%-60%,前50-60名,8档,57,48,100,
2398,工学,8,电气工程,808,B-,三峡大学,11075,30%-40%,前25-33名,6档,40,39,84,
2846,工学,8,计算机科学与技术,812,C,三峡大学,11075,50%-60%,前119-142名,8档,77,75,238,
2965,工学,8,土木工程,814,B-,三峡大学,11075,30%-40%,前40-53名,6档,56,54,134,
3025,工学,8,水利工程,815,B-,三峡大学,11075,30%-40%,前14-19名,6档,24,24,49,
4515,管理学,12,管理科学与工程,1201,C,三峡大学,11075,50%-60%,前93-112名,8档,90,85,187,
4682,管理学,12,工商管理,1202,C,三峡大学,11075,50%-60%,前120-144名,8档,65,63,240,
4201,医学,10,中医学,1005,A+,上海中医药大学,10268,前2%,前2名,1档,20,20,37,中医学
4226,医学,10,中西医结合,1006,A+,上海中医药大学,10268,前2%,前2名,1档,32,32,54,
4335,医学,10,中药学,1008,A+,上海中医药大学,10268,前2%,前2名,1档,24,22,43,中药学
239,法学,3,法学,301,A-,上海交通大学,10248,5%-10%,前7-14名,3档,40,38,144,
362,法学,3,政治学,302,C+,上海交通大学,10248,40%-50%,前30-38名,7档,30,28,76,
501,法学,3,马克思主义理论,305,B,上海交通大学,10248,20%-30%,前46-69名,5档,93,83,231,
819,文学,5,中国语言文学,501,B-,上海交通大学,10248,30%-40%,前44-59名,6档,65,64,148,
878,文学,5,外国语言文学,502,A,上海交通大学,10248,2%-5%,前7名,2档,41,38,163,
994,文学,5,新闻传播学,503,A-,上海交通大学,10248,5%-10%,前4-8名,3档,17,17,81,
1112,历史学,6,中国史,602,C,上海交通大学,10248,50%-60%,前41-49名,8档,48,48,82,
1173,理学,7,数学,701,A,上海交通大学,10248,2%-5%,前9名,2档,76,69,182,数学
1300,理学,7,物理学,702,A,上海交通大学,10248,2%-5%,前6名,2档,64,56,127,
1392,理学,7,化学,703,A-,上海交通大学,10248,5%-10%,前7-15名,3档,69,66,150,化学
1493,理学,7,天文学,704,C+,上海交通大学,10248,40%-50%,前3-4名,7档,7,6,8,
1588,理学,7,生物学,710,A+,上海交通大学,10248,前2%,前2名,1档,91,75,161,生物学
1709,理学,7,科学技术史,712,B+,上海交通大学,10248,10%-20%,前2-4名,4档,9,7,21,
1733,理学,7,生态学,713,B+,上海交通大学,10248,10%-20%,前10-20名,4档,57,48,100,
